Date,volume,pct_change_1d,rsi,adx,corr,volatility,volume^2,pct_change_1d^2,rsi^2,adx^2,corr^2,volatility^2,volume*pct_change_1d,volume*rsi,volume*adx,volume*corr,volume*volatility,pct_change_1d*rsi,pct_change_1d*adx,pct_change_1d*corr,pct_change_1d*volatility,rsi*adx,rsi*corr,rsi*volatility,adx*corr,adx*volatility,corr*volatility
2024-11-06,5621300,0.0044840825924497,61.69876280377567,28.569519878502074,0.2843841197888345,1.088945904649418,31599013690000,2.010699669591043e-05,3806.737331516571,816.2174660881252,0.0808743275880702,1.1858031832527391,25206.373476937504,346827255.34886414,160597842.09302372,1598608.4525689755,6121291.613805773,0.2766623482640935,0.1281080867618368,0.0012752018811142,0.0048829233751578,1762.704030401453,17.546148352011826,67.18661507710735,8.124717763437424,31.11066166949497,0.3096789225913808
2024-11-07,13750000,-0.044642659167429,40.00645285265479,27.349477511088047,-0.1640100776436669,1.7806136058027118,189062500000000,0.0019929670175392,1600.5162698516906,747.9939201295108,0.0268993055686816,3.170584813169735,-613836.5635521493,550088726.7240033,376055315.77746063,-2255138.567600421,24483437.079787288,-1.7859944391988871,-1.2209534029347693,0.0073218459962697,-0.0794913263127373,1094.1555825920864,-6.561461438611614,71.23603426934183,-4.485589930107275,48.69885176783866,-0.2920385757410726
2024-11-08,6008300,0.0093457976625241,44.35408032448765,26.251439380415423,-0.1069823228726031,1.782873477360441,36099668890000,8.734393394884264e-05,1967.2844414311028,689.1380695436256,0.0114452174072179,3.1786378362753114,56152.3560957441,266492620.8136192,157726523.22935,-642781.8905154614,10712038.714024736,0.4145242602200069,0.2453406407993819,-0.0009998351430341,0.0166623747772915,1164.358450912364,-4.745102541991712,79.07771342324362,-2.808439963666172,46.80299501387807,-0.1907359459959754
2024-11-11,8654600,-0.0185186404880929,38.20197458685271,26.427326273796915,0.3054213811779169,1.8429676258092196,74902101160000,0.0003429400455272,1459.39086233454,698.4035739817167,0.0932822200806264,3.396529669780871,-160271.42596824907,330622809.25937545,228717937.9692028,2643299.8855424,15950147.61432847,-0.7074486333091877,-0.4893981543259776,-0.0056559887554106,-0.0341292548935551,1009.5760467100546,11.667699842040236,70.40500240555606,8.071470491382506,48.704706759305104,0.5628817177408381
2024-11-12,4850600,0.0094340844371336,42.62333311187128,26.93856406795266,0.6010990190759117,1.8772727043372452,23528320360000,8.900194916696774e-05,1816.7485255655424,725.6862340431902,0.3613200307340232,3.524152806449675,45760.96997076059,206748739.5924428,130668198.86801118,2915690.9019296174,9105898.979658242,0.4021121235694691,0.2541406880322005,0.0056708189010403,0.0177103492042438,1148.2113898238324,25.62084372329165,80.01561981878984,16.192744436559945,50.571031018807645,1.1284267811151023
2024-11-13,6368500,0.0,42.62333311187128,27.398678082692832,0.6507387843542859,1.819022328087299,40557792250000,0.0,1816.7485255655424,750.6875606790326,0.4234609654628938,3.308842230080137,0.0,271446696.92295223,174488481.3696293,4144229.9481602698,11584443.696423965,0.0,0.0,0.0,0.0,1167.8229827435432,27.736655974346892,77.53279462799655,17.82938246844595,49.83880719249437,1.183708378492832
2024-11-14,5348100,-0.0186915953250482,36.22422065972254,28.55202103827146,0.7428068603905459,1.8893925704929224,28602173610000,0.0003493757357953,1312.1941624042693,815.217905369896,0.5517620318432599,3.569804285433852,-99964.52095789068,193730754.51026213,152699063.7147796,3972605.370054679,10104660.406253196,-0.6770884735367868,-0.5336828229596347,-0.0138842452390897,-0.0353157613378064,1034.2747103713857,26.90759961834285,68.44177338637598,21.20863710524324,53.945976422267705,1.4034537633330706
2024-11-18,20137100,0.0054945766999587,18.45412816725008,37.91342428932095,0.9382161803597802,4.3402363376185376,405502796410000,3.0190373111729983e-05,340.55484641329275,1437.4277413420718,0.8802496010888955,18.837651466384376,110644.84046474007,371612624.3167316,763466416.2564849,18892953.04552293,87399773.15425825,0.1013976226458254,0.2083182177157544,0.0051551007641291,0.0238477614529932,699.6591910944611,17.3139616409472,80.09527765056858,35.570988121086415,164.55322178406007,4.072079958539185
2024-11-19,17703700,0.01092896622034,22.07814986752442,41.55891854878124,0.9114498285843003,4.43836691754884,313420993690000,0.0001194423026453,487.44470157286855,1727.1437109442336,0.8307407900263507,19.69910089479199,193483.1392750334,390864941.8096921,735746626.3120584,16136034.33030788,78575516.3982094,0.2412913541097786,0.454196016973492,0.0099612043881325,0.0485067621153658,917.5440320522328,20.123125912213627,97.99092997270569,37.87886918743557,184.4537292160175,4.04534876619412
2024-11-20,11808600,0.0054053401368849,23.955640971964044,44.83986338229551,0.870014836523333,4.443541200798163,139443033960000,2.921770199541978e-05,573.8727343776424,2010.6133481429251,0.7569258157707218,19.74505840319078,63829.49954042002,282882581.9815346,529496010.7361747,10273657.19856943,52472000.62374518,0.1294883876505636,0.2423747132727611,0.004702726115545,0.0240188516025764,1074.1676684181884,20.84176306403496,106.44787765045078,39.01134641027641,199.2477803773909,3.865946771397109
